FL_DATE,AIRLINE,DEST_CITY,DEP_TIME,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLATION_CODE,ELAPSED_TIME,AIR_TIME,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_LATE_AIRCRAFT
18-11-2020,PSA Airlines Inc.,"Grand Rapids, MI",2005,18,5,2154,-16,,109,86,,,
20-03-2023,Southwest Airlines Co.,"Chicago, IL",518,27,6,657,-3,,99,66,,,
24-06-2019,Southwest Airlines Co.,"Orlando, FL",1300,13,6,1635,-15,,155,136,,,
29-03-2021,American Airlines Inc.,"Miami, FL",821,16,17,1115,-5,,174,141,,,
11/12/2019,Southwest Airlines Co.,"San Antonio, TX",2155,9,3,2400,-25,,125,113,,,
31-12-2019,ExpressJet Airlines LLC d/b/a aha!,"Houston, TX",1556,10,7,1709,-16,,73,56,,,
22-06-2019,SkyWest Airlines Inc.,"Helena, MT",1108,18,2,1238,1,,90,70,,,
1/8/2021,American Airlines Inc.,"Dallas/Fort Worth, TX",1209,14,14,1324,-9,,135,107,,,
14-04-2020,Southwest Airlines Co.,"Houston, TX",,,,,,D,,,,,
2/3/2023,United Air Lines Inc.,"Los Angeles, CA",1640,23,7,1827,-2,,227,197,,,
7/4/2022,SkyWest Airlines Inc.,"Denver, CO",924,15,17,1009,-15,,105,73,,,
18-05-2022,Delta Air Lines Inc.,"Atlanta, GA",902,20,6,1025,30,,83,57,30,0,0
24-09-2019,Delta Air Lines Inc.,"Memphis, TN",1426,16,5,1622,-3,,116,95,,,
12/5/2021,SkyWest Airlines Inc.,"Denver, CO",1047,9,9,1203,-9,,76,58,,,
9/8/2021,Southwest Airlines Co.,"Santa Ana, CA",1232,9,4,1334,-11,,122,109,,,
28-10-2021,SkyWest Airlines Inc.,"Tucson, AZ",2011,25,5,2054,14,,163,133,,,
12/8/2020,Southwest Airlines Co.,"Baltimore, MD",1229,9,12,1337,-13,,68,47,,,
22-06-2022,Southwest Airlines Co.,"Long Beach, CA",1818,10,3,1942,37,,84,71,3,0,34
4/3/2022,SkyWest Airlines Inc.,"Chicago, IL",659,13,15,840,-2,,161,133,,,
6/6/2019,SkyWest Airlines Inc.,"Savannah, GA",553,20,8,903,-11,,130,102,,,
28-01-2020,SkyWest Airlines Inc.,"Medford, OR",1529,20,4,1706,2,,157,133,,,
21-01-2023,Delta Air Lines Inc.,"New York, NY",1145,15,7,1408,-9,,143,121,,,
15-08-2020,American Airlines Inc.,"San Francisco, CA",947,15,5,1213,-15,,266,246,,,
23-09-2020,Southwest Airlines Co.,"Dallas, TX",2045,8,2,2229,-16,,104,94,,,
21-11-2022,Frontier Airlines Inc.,"Orlando, FL",737,14,7,1306,-2,,209,188,,,
16-10-2020,SkyWest Airlines Inc.,"Grand Forks, ND",2048,9,3,2153,-13,,65,53,,,
10/8/2022,Southwest Airlines Co.,"Atlanta, GA",1825,7,11,2136,26,,131,113,12,0,3
3/9/2022,JetBlue Airways,"New York, NY",1855,26,7,2155,-4,,180,147,,,
1/1/2019,Southwest Airlines Co.,"Chicago, IL",,,,,,B,,,,,
11/5/2022,SkyWest Airlines Inc.,"Dallas/Fort Worth, TX",1520,13,21,1705,1,,105,71,,,
9/7/2019,Alaska Airlines Inc.,"Kona, HI",1725,13,5,2017,-23,,352,334,,,
18-09-2019,Alaska Airlines Inc.,"Seattle, WA",1211,21,9,1417,-28,,126,96,,,
2/12/2019,SkyWest Airlines Inc.,"San Francisco, CA",,,,,,B,,,,,
13-06-2021,Alaska Airlines Inc.,"Sacramento, CA",1754,15,4,1945,-1,,111,92,,,
25-11-2020,Southwest Airlines Co.,"Cincinnati, OH",900,15,4,1040,-5,,100,81,,,
1/6/2021,Southwest Airlines Co.,"Nashville, TN",1618,11,5,1729,-31,,131,115,,,
16-09-2019,Southwest Airlines Co.,"Las Vegas, NV",725,11,3,801,-4,,96,82,,,
31-10-2021,SkyWest Airlines Inc.,"Denver, CO",1130,21,9,1243,-1,,133,103,,,
27-09-2019,American Airlines Inc.,"Lihue, HI",1903,14,5,2131,67,,328,309,0,0,67
14-05-2022,Spirit Air Lines,"Baltimore, MD",1937,11,6,2146,-19,,129,112,,,
10/6/2019,SkyWest Airlines Inc.,"San Francisco, CA",814,15,34,932,-1,,78,29,,,
3/6/2021,SkyWest Airlines Inc.,"St. George, UT",1756,23,4,1938,110,,102,75,110,0,0
24-08-2020,Southwest Airlines Co.,"Dallas, TX",601,13,2,1038,-2,,157,142,,,
19-03-2023,Southwest Airlines Co.,"Baltimore, MD",1224,6,6,1336,-14,,72,60,,,
12/8/2020,United Air Lines Inc.,"Washington, DC",1406,19,28,1950,17,,224,177,0,0,0
